gene_id	gene_symbol	count	tfidf	rank_tfidf
4976	OPA1	129	0.2994096925615963	1
5428	POLG	121	0.2924194798680025	2
4567	TRNL1	89	0.2603855636433306	3
760	CA2	115	0.23137826226015795	4
6834	SURF1	62	0.18680778723772212	5
4508	ATP6	56	0.14222906235952218	6
10059	DNM1L	58	0.1325337639062826	7
6687	SPG7	45	0.12811606154605673	8
9518	GDF15	53	0.11738098938590892	9
26291	FGF21	51	0.11720437887031465	10
