gene_id	gene_symbol	count	tfidf	rank_tfidf
8452	CUL3	177	1.090147167400455	1
26249	KLHL3	124	1.0167437802793642	2
65125	WNK1	135	0.9226271829786516	3
65266	WNK4	121	0.9209551037614624	4
6559	SLC12A3	128	0.8580369094866102	5
27347	STK39	56	0.40563834106040014	6
4306	NR3C2	43	0.24070414191355835	7
143384	CACUL1	32	0.20295312292813963	8
130497	OSR1	25	0.18776754379876315	9
5972	REN	42	0.1548294030774172	10
