n	metric	TP_median_pval	FP_median_pval	separation
100	counts	3.7147043721272083e-50	0.0642953021194114	-0.0642953021194114
50	counts	5.021761199151368e-36	0.054233138407207795	-0.054233138407207795
150	tfidf	5.747154109190813e-67	0.075147980111756	-0.075147980111756
50	tfidf	1.9546077128438864e-34	0.0659677793535096	-0.0659677793535096
100	tfidf	3.260228755049105e-48	0.0700402433806852	-0.0700402433806852
80	tfidf	3.4300465910682212e-43	0.065387220130337	-0.065387220130337
90	counts	3.2622693925358034e-49	0.0614795823431232	-0.0614795823431232
150	counts	1.1402930819133295e-67	0.07309333256818501	-0.07309333256818501
30	counts	3.539617851470208e-28	0.054590530699654596	-0.054590530699654596
20	tfidf	4.4729967432827127e-20	0.0624495305978406	-0.0624495305978406
120	tfidf	1.685606816285158e-59	0.0693202876813172	-0.0693202876813172
70	tfidf	4.080814632735879e-38	0.06748081694136851	-0.06748081694136851
60	counts	1.9823273471805422e-38	0.056378064960480645	-0.056378064960480645
130	counts	1.6554125422859576e-62	0.06593035188716176	-0.06593035188716176
140	counts	2.9940950784755237e-69	0.06774130052683545	-0.06774130052683545
40	tfidf	8.13180031865646e-32	0.0710102247888019	-0.0710102247888019
110	tfidf	8.387823979641006e-52	0.07388757061553794	-0.07388757061553794
80	counts	3.531765877457737e-44	0.06105541798837975	-0.06105541798837975
90	tfidf	5.356080642839202e-44	0.0683315827640421	-0.0683315827640421
10	counts	4.088882940982402e-12	0.0486276648227788	-0.048627664818689915
40	counts	3.710501602117964e-33	0.0545284750833568	-0.0545284750833568
10	tfidf	1.6443099581939567e-12	0.0528704498363868	-0.05287044983474249
110	counts	1.6252097257591147e-54	0.06555557328241829	-0.06555557328241829
140	tfidf	3.4231735834914267e-67	0.0727446793296922	-0.0727446793296922
130	tfidf	9.793642143617634e-62	0.0747282561309638	-0.0747282561309638
120	counts	1.3367405522671742e-60	0.0644767534068222	-0.0644767534068222
60	tfidf	2.087454905372507e-36	0.0654296075251941	-0.0654296075251941
70	counts	2.679462520523056e-40	0.0587671417821313	-0.0587671417821313
20	counts	4.842009307475655e-21	0.0511767470934025	-0.0511767470934025
30	tfidf	2.067010958974085e-27	0.06932446111227734	-0.06932446111227734
