PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
21749694	PMC3159098	277	44	{'283989': ('TSEN54', 100, 9606.0), '5917': ('RARS1', 4, 9606.0), '7443': ('VRK1', 36, 9606.0), '57038': ('RARS2', 34, 9606.0), '80746': ('TSEN2', 9, 9606.0), '79042': ('TSEN34', 8, 9606.0), '373073': ('CLAM', 4, 0.0), '9788': ('MTSS1', 1, 9606.0), '6606': ('SMN1', 1, 9606.0), '116461': ('TSEN15', 2, 9606.0), '6736': ('SRY', 1, 9606.0), '170302': ('ARX', 1, 9606.0), '51091': ('SEPSECS', 7, 9606.0), '9440': ('MED17', 2, 9606.0), '5373': ('PMM2', 2, 9606.0), '10195': ('ALG3', 1, 9606.0), '29968': ('PSAT1', 3, 9606.0), '79147': ('FKRP', 1, 9606.0), '55624': ('POMGNT1', 1, 9606.0), '10585': ('POMT1', 1, 9606.0), '29954': ('POMT2', 1, 9606.0), '2218': ('FKTN', 1, 9606.0), '5649': ('RELN', 1, 9606.0), '8573': ('CASK', 5, 9606.0), '10381': ('TUBB3', 2, 9606.0), '22069': ('n-TUtca2', 8, 10090.0), '6301': ('SARS1', 4, 9606.0), '2597': ('GAPDH', 1, 9606.0), '1917': ('EEF1A2', 1, 9606.0), '10978': ('CLP1', 5, 9606.0), '10934': ('MORF4', 1, 9606.0), '14179': ('Fgf8', 1, 10090.0), '2253': ('FGF8', 1, 9606.0), '5015': ('OTX2', 2, 9606.0), '553550': ('tsen54', 6, 0.0), '393589': ('rars2', 1, 0.0), '211006': ('Sepsecs', 4, 10090.0), '234734': ('Aars', 1, 10090.0), '3735': ('KARS1', 2, 9606.0), '8565': ('YARS1', 2, 9606.0), '2617': ('GARS1', 2, 9606.0), '1615': ('DARS1', 2, 9606.0), '55157': ('DARS2', 2, 9606.0), '23438': ('HARS2', 2, 9606.0)}	14
22452838	PMC3351739	117	19	{'8573': ('CASK', 66, 9606.0), '283989': ('TSEN54', 15, 9606.0), '7443': ('VRK1', 10, 9606.0), '57038': ('RARS2', 4, 9606.0), '79042': ('TSEN34', 2, 9606.0), '80746': ('TSEN2', 2, 9606.0), '5917': ('RARS1', 2, 9606.0), '7436': ('VLDLR', 3, 9606.0), '367': ('AR', 1, 9606.0), '2332': ('FMR1', 1, 9606.0), '8239': ('USP9X', 1, 9606.0), '1654': ('DDX3X', 1, 9606.0), '60506': ('NYX', 1, 9606.0), '2857': ('GPR34', 2, 9606.0), '27197': ('GPR82', 2, 0.0), '4128': ('MAOA', 1, 9606.0), '4129': ('MAOB', 1, 9606.0), '4693': ('NDP', 1, 9606.0), '5649': ('RELN', 1, 9606.0)}	82
24027500	PMC3759752	337	71	{'14179': ('Fgf8', 15, 10090.0), '2253': ('FGF8', 16, 9606.0), '4010': ('LMX1B', 5, 9606.0), '18424': ('Otx2', 2, 10090.0), '14472': ('Gbx2', 2, 10090.0), '18504': ('Pax2', 2, 10090.0), '13798': ('En1', 5, 10090.0), '13799': ('En2', 3, 10090.0), '2020': ('EN2', 3, 9606.0), '2737': ('GLI3', 9, 9606.0), '8822': ('FGF17', 1, 9606.0), '7471': ('WNT1', 3, 9606.0), '20423': ('Shh', 24, 10090.0), '22408': ('Wnt1', 10, 10090.0), '54903': ('MKS1', 13, 9606.0), '14182': ('Fgfr1', 2, 10090.0), '52906': ('Ahi1', 3, 10090.0), '54806': ('AHI1', 5, 9606.0), '91147': ('TMEM67', 9, 9606.0), '2019': ('EN1', 2, 9606.0), '2637': ('GBX2', 5, 9606.0), '5015': ('OTX2', 6, 9606.0), '4009': ('LMX1A', 3, 9606.0), '256297': ('PTF1A', 10, 9606.0), '474': ('ATOH1', 10, 9606.0), '6469': ('SHH', 10, 9606.0), '2804': ('GOLGB1', 12, 9606.0), '2296': ('FOXC1', 7, 9606.0), '7040': ('TGFB1', 2, 9606.0), '6387': ('CXCL12', 1, 9606.0), '650': ('BMP2', 1, 9606.0), '652': ('BMP4', 1, 9606.0), '126006': ('PCP2', 1, 9606.0), '7248': ('TSC1', 2, 9606.0), '7249': ('TSC2', 1, 9606.0), '5649': ('RELN', 4, 9606.0), '7436': ('VLDLR', 3, 9606.0), '7804': ('LRP8', 1, 9606.0), '22774': ('Zic4', 9, 0.0), '7545': ('ZIC1', 9, 9606.0), '14633': ('Gli2', 2, 10090.0), '319757': ('Smo', 3, 10090.0), '12387': ('Ctnnb1', 15, 10090.0), '18008': ('Nes', 1, 10090.0), '51684': ('SUFU', 3, 9606.0), '11921': ('Atoh1', 7, 10090.0), '21803': ('Tgfb1', 2, 10090.0), '14632': ('Gli1', 1, 10090.0), '19699': ('Reln', 5, 10090.0), '11789': ('Apc', 2, 10090.0), '80184': ('CEP290', 3, 9606.0), '30269': ('shha', 1, 7955.0), '555988': ('si:rp71-1d10.5', 4, 0.0), '100006041': ('rhoab', 1, 7955.0), '3730': ('ANOS1', 1, 9606.0), '22771': ('Zic1', 4, 10090.0), '84107': ('ZIC4', 3, 9606.0), '17300': ('Foxc1', 4, 10090.0), '14473': ('Gc', 1, 10090.0), '5119': ('CHMP1A', 6, 9606.0), '1029': ('CDKN2A', 6, 9606.0), '648': ('BMI1', 5, 9606.0), '8573': ('CASK', 3, 9606.0), '51010': ('EXOSC3', 3, 9606.0), '57038': ('RARS2', 1, 9606.0), '283989': ('TSEN54', 2, 9606.0), '80746': ('TSEN2', 2, 9606.0), '79042': ('TSEN34', 2, 9606.0), '64930': ('Tsc1', 9, 10090.0), '2735': ('GLI1', 2, 9606.0), '54875': ('CNTLN', 1, 9606.0)}	44
24524299	PMC3928094	91	8	{'51010': ('EXOSC3', 52, 9606.0), '7443': ('VRK1', 26, 9606.0), '57038': ('RARS2', 3, 9606.0), '8573': ('CASK', 2, 9606.0), '283989': ('TSEN54', 5, 9606.0), '79042': ('TSEN34', 1, 9606.0), '80746': ('TSEN2', 1, 9606.0), '1675': ('CFD', 1, 9606.0)}	46
24591785	PMC3928753	0	0	{}	296
24886362	PMC4019562	32	4	{'283989': ('TSEN54', 29, 9606.0), '80746': ('TSEN2', 1, 9606.0), '79042': ('TSEN34', 1, 9606.0), '51091': ('SEPSECS', 1, 9606.0)}	124
25561519	PMC4315290	220	17	{'2972': ('BRF1', 72, 9606.0), '4563': ('TRNG', 18, 9606.0), '853161': ('BRF1', 38, 559292.0), '855689': ('BDP1', 2, 0.0), '6908': ('TBP', 10, 9606.0), '55814': ('BDP1', 13, 9606.0), '283989': ('TSEN54', 1, 9606.0), '11128': ('POLR3A', 6, 9606.0), '55703': ('POLR3B', 5, 9606.0), '2975': ('GTF3C1', 4, 9606.0), '55290': ('BRF2', 6, 9606.0), '145226': ('RDH12', 4, 9606.0), '2959': ('GTF2B', 10, 9606.0), '334402': ('brf1a', 10, 0.0), '334316': ('brf1b', 17, 0.0), '853519': ('SUP4', 3, 559292.0), '6035': ('RNASE1', 1, 9606.0)}	245
26083569	PMC4470523	111	22	{'57038': ('RARS2', 44, 9606.0), '7443': ('VRK1', 1, 9606.0), '6390': ('SDHB', 8, 9606.0), '1431': ('CS', 1, 9606.0), '9377': ('COX5A', 10, 9606.0), '7416': ('VDAC1', 4, 9606.0), '793': ('CALB1', 2, 9606.0), '6855': ('SYP', 5, 9606.0), '2670': ('GFAP', 2, 9606.0), '968': ('CD68', 3, 9606.0), '6389': ('SDHA', 3, 9606.0), '4714': ('NDUFB8', 6, 9606.0), '4722': ('NDUFS3', 2, 9606.0), '4512': ('COX1', 7, 9606.0), '1327': ('COX4I1', 2, 9606.0), '7385': ('UQCRC2', 1, 9606.0), '57505': ('AARS2', 1, 9606.0), '25821': ('MTO1', 2, 9606.0), '4976': ('OPA1', 2, 9606.0), '553550': ('tsen54', 2, 0.0), '5917': ('RARS1', 2, 9606.0), '6404': ('SELPLG', 1, 9606.0)}	161
26331051	PMC4552363	18	7	{'1282': ('COL4A1', 4, 9606.0), '283989': ('TSEN54', 1, 9606.0), '284217': ('LAMA1', 4, 9606.0), '256297': ('PTF1A', 2, 9606.0), '8573': ('CASK', 2, 9606.0), '5373': ('PMM2', 1, 9606.0), '9289': ('ADGRG1', 4, 9606.0)}	109
27066553	PMC4807911	43	6	{'271': ('AMPD2', 34, 9606.0), '728378': ('POTEF', 2, 9606.0), '7443': ('VRK1', 1, 9606.0), '1179': ('CLCA1', 1, 9606.0), '109674': ('Ampd2', 4, 10090.0), '11717': ('Ampd3', 1, 10090.0)}	38
27127732	PMC4845884	91	26	{'54512': ('EXOSC4', 2, 9606.0), '56915': ('EXOSC5', 2, 9606.0), '5393': ('EXOSC9', 2, 9606.0), '23016': ('EXOSC7', 2, 9606.0), '118460': ('EXOSC6', 2, 9606.0), '11340': ('EXOSC8', 17, 9606.0), '23404': ('EXOSC2', 2, 9606.0), '51010': ('EXOSC3', 28, 9606.0), '51013': ('EXOSC1', 3, 9606.0), '22894': ('DIS3', 2, 9606.0), '5394': ('EXOSC10', 2, 9606.0), '7443': ('VRK1', 2, 9606.0), '565000': ('exosc3', 1, 0.0), '854034': ('PAP2', 2, 0.0), '851379': ('AIR2', 1, 0.0), '853397': ('MTR4', 3, 0.0), '851114': ('SKI2', 2, 559292.0), '856319': ('SKI3', 1, 0.0), '852659': ('SKI8', 1, 0.0), '10179': ('RBM7', 1, 9606.0), '55596': ('ZCCHC8', 1, 9606.0), '6499': ('SKIV2L', 3, 9606.0), '9652': ('TTC37', 3, 9606.0), '283989': ('TSEN54', 2, 9606.0), '57038': ('RARS2', 1, 9606.0), '6606': ('SMN1', 3, 9606.0)}	177
27061686	PMC4864753	26	2	{'57038': ('RARS2', 24, 9606.0), '55163': ('PNPO', 2, 9606.0)}	110
27281532	PMC4932233	45	9	{'7443': ('VRK1', 34, 9606.0), '6606': ('SMN1', 3, 9606.0), '22367': ('Vrk1', 2, 10090.0), '23064': ('SETX', 1, 9606.0), '57679': ('ALS2', 1, 9606.0), '6647': ('SOD1', 1, 9606.0), '4000': ('LMNA', 1, 9606.0), '9927': ('MFN2', 1, 9606.0), '59341': ('TRPV4', 1, 9606.0)}	357
27430971	PMC4950429	9	4	{'283989': ('TSEN54', 6, 9606.0), '80746': ('TSEN2', 1, 9606.0), '79042': ('TSEN34', 1, 9606.0), '51091': ('SEPSECS', 1, 9606.0)}	79
27570394	PMC4980965	22	3	{'283989': ('TSEN54', 19, 9606.0), '8573': ('CASK', 2, 9606.0), '9440': ('MED17', 1, 9606.0)}	295
27769281	PMC5073905	57	7	{'57038': ('RARS2', 37, 9606.0), '1431': ('CS', 12, 9606.0), '1351': ('COX8A', 3, 9606.0), '1401': ('CRP', 1, 9606.0), '2597': ('GAPDH', 1, 9606.0), '7416': ('VDAC1', 2, 9606.0), '5917': ('RARS1', 1, 9606.0)}	209
