PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
36111109	PMC9468813	161	26	{'1000': ('CDH2', 114, 9606.0), '9531': ('BAG3', 1, 9606.0), '1674': ('DES', 2, 9606.0), '1832': ('DSP', 1, 9606.0), '2318': ('FLNC', 1, 9606.0), '4000': ('LMNA', 1, 9606.0), '4625': ('MYH7', 1, 9606.0), '5350': ('PLN', 1, 9606.0), '282996': ('RBM20', 1, 9606.0), '6331': ('SCN5A', 1, 9606.0), '7134': ('TNNC1', 1, 9606.0), '7139': ('TNNT2', 1, 9606.0), '7273': ('TTN', 2, 9606.0), '728378': ('POTEF', 1, 9606.0), '1738': ('DLD', 2, 9606.0), '6117': ('RPA1', 2, 9606.0), '4624': ('MYH6', 1, 9606.0), '1824': ('DSC2', 4, 9606.0), '1829': ('DSG2', 5, 9606.0), '12558': ('Cdh2', 9, 10090.0), '414745': ('CDH2', 1, 9031.0), '17888': ('Myh6', 3, 10090.0), '14609': ('Gja1', 1, 10090.0), '14613': ('Gja5', 1, 10090.0), '30291': ('cdh2', 2, 7955.0), '2159': ('F10', 1, 9606.0)}	0
22486326	None	2	1	{'9839': ('ZEB2', 2, 9606.0)}	4
32022998	None	4	1	{'1947': ('EFNB1', 4, 9606.0)}	3
35708058	None	3	1	{'1000': ('CDH2', 3, 9606.0)}	2
31585109	PMC6817525	8	1	{'1000': ('CDH2', 8, 9606.0)}	1
