PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
20515445	PMC2907710	253	22	{'2697': ('GJA1', 163, 9606.0), '14611': ('Gja3', 15, 10090.0), '14619': ('Gjb2', 2, 10090.0), '16939': ('Lor', 8, 10090.0), '2706': ('GJB2', 20, 9606.0), '10052': ('GJC1', 1, 9606.0), '2703': ('GJA8', 1, 9606.0), '2702': ('GJA5', 1, 9606.0), '2705': ('GJB1', 1, 9606.0), '3848': ('KRT1', 2, 9606.0), '3858': ('KRT10', 1, 9606.0), '7020': ('TFAP2A', 4, 9606.0), '16195': ('Il6st', 4, 10090.0), '18453': ('P4hb', 5, 10090.0), '12550': ('Cdh1', 5, 10090.0), '12737': ('Cldn1', 5, 10090.0), '18260': ('Ocln', 6, 10090.0), '16664': ('Krt14', 2, 10090.0), '14433': ('Gapdh', 3, 10090.0), '16059': ('Igh-V7183', 2, 10090.0), '9076': ('CLDN1', 1, 9606.0), '51060': ('TXNDC12', 1, 9606.0)}	175
21346198	PMC3078079	215	22	{'14609': ('Gja1', 108, 10090.0), '2697': ('GJA1', 13, 9606.0), '13345': ('Twist2', 8, 10090.0), '12842': ('Col1a1', 3, 10090.0), '19226': ('Pth', 2, 10090.0), '12091': ('Glb1', 1, 10090.0), '14910': ('Gt(ROSA)26Sor', 5, 10090.0), '12096': ('Bglap', 8, 10090.0), '16948': ('Lox', 5, 10090.0), '18822': ('Plod1', 3, 10090.0), '12393': ('Runx2', 8, 10090.0), '170574': ('Sp7', 3, 10090.0), '11647': ('Alpl', 2, 10090.0), '20750': ('Spp1', 1, 10090.0), '103993': ('Bsp', 1, 10090.0), '13406': ('Dmp1', 4, 10090.0), '74499': ('Sost', 9, 10090.0), '268373': ('Ppia', 2, 10090.0), '11433': ('Acp5', 10, 10090.0), '12977': ('Csf1', 7, 10090.0), '21943': ('Tnfsf11', 10, 10090.0), '57276': ('Vsig2', 2, 10090.0)}	132
22809623	PMC3431933	175	12	{'2697': ('GJA1', 133, 9606.0), '2706': ('GJB2', 16, 9606.0), '2701': ('GJA4', 4, 9606.0), '10804': ('GJB6', 1, 9606.0), '2707': ('GJB3', 1, 9606.0), '2705': ('GJB1', 7, 9606.0), '2700': ('GJA3', 1, 9606.0), '2703': ('GJA8', 1, 9606.0), '14611': ('Gja3', 6, 10090.0), '25506': ('P4hb', 2, 10116.0), '64714': ('PDIA2', 2, 9606.0), '57369': ('GJD2', 1, 9606.0)}	27
23075222	PMC3522501	216	17	{'2697': ('GJA1', 20, 9606.0), '14609': ('Gja1', 114, 10090.0), '14619': ('Gjb2', 7, 10090.0), '14618': ('Gjb1', 6, 10090.0), '14623': ('Gjb6', 7, 10090.0), '18429': ('Oxt', 13, 10090.0), '13419': ('Dnase1', 1, 10090.0), '12991': ('Csn2', 3, 10090.0), '22373': ('Wap', 4, 10090.0), '11461': ('Actb', 2, 10090.0), '16664': ('Krt14', 8, 10090.0), '18538': ('Pcna', 4, 10090.0), '12367': ('Casp3', 3, 10090.0), '19109': ('Prl', 13, 10090.0), '22418': ('Wnt5a', 4, 10090.0), '12443': ('Ccnd1', 4, 10090.0), '19116': ('Prlr', 3, 10090.0)}	123
23951358	PMC3741164	108	13	{'2697': ('GJA1', 66, 9606.0), '56172': ('ANKH', 11, 9606.0), '2701': ('GJA4', 2, 9606.0), '2702': ('GJA5', 2, 9606.0), '10804': ('GJB6', 2, 9606.0), '2705': ('GJB1', 2, 9606.0), '14609': ('Gja1', 12, 10090.0), '14615': ('Gjc1', 1, 10090.0), '14611': ('Gja3', 1, 10090.0), '19226': ('Pth', 3, 10090.0), '12097': ('Bglap2', 1, 10090.0), '4790': ('NFKB1', 2, 9606.0), '7040': ('TGFB1', 3, 9606.0)}	148
24133447	PMC3783840	297	26	{'2697': ('GJA1', 140, 9606.0), '100128922': ('LOC100128922', 62, 0.0), '108707762': ('gja3.L', 6, 0.0), '2706': ('GJB2', 8, 9606.0), '373664': ('gja1.L', 1, 0.0), '2035': ('EPB41', 3, 9606.0), '2705': ('GJB1', 3, 9606.0), '2703': ('GJA8', 1, 9606.0), '7170': ('TPM3', 3, 9606.0), '6708': ('SPTA1', 3, 9606.0), '801': ('CALM1', 6, 9606.0), '24392': ('Gja1', 1, 10116.0), '2702': ('GJA5', 2, 9606.0), '14623': ('Gjb6', 4, 10090.0), '10804': ('GJB6', 3, 9606.0), '14609': ('Gja1', 25, 10090.0), '2670': ('GFAP', 2, 9606.0), '3766': ('KCNJ10', 1, 9606.0), '6898': ('TAT', 1, 9606.0), '24145': ('PANX1', 1, 9606.0), '57165': ('GJC2', 12, 9606.0), '7082': ('TJP1', 2, 9606.0), '6010': ('RHO', 1, 9606.0), '14619': ('Gjb2', 4, 10090.0), '14612': ('Gja4', 1, 10090.0), '14613': ('Gja5', 1, 10090.0)}	7
24665281	PMC3943020	0	0	{}	46
25933380	PMC4416750	220	28	{'2697': ('GJA1', 112, 9606.0), '14609': ('Gja1', 34, 10090.0), '93671': ('Cd163', 4, 10090.0), '18383': ('Tnfrsf11b', 3, 10090.0), '3020': ('H3-3A', 1, 9606.0), '8600': ('TNFSF11', 2, 9606.0), '1435': ('CSF1', 3, 9606.0), '4982': ('TNFRSF11B', 1, 9606.0), '632': ('BGLAP', 1, 9606.0), '6696': ('SPP1', 1, 9606.0), '4907': ('NT5E', 1, 9606.0), '214': ('ALCAM', 1, 9606.0), '7422': ('VEGFA', 4, 9606.0), '4318': ('MMP9', 3, 9606.0), '8626': ('TP63', 2, 9606.0), '1956': ('EGFR', 3, 9606.0), '7015': ('TERT', 2, 9606.0), '860': ('RUNX2', 2, 9606.0), '11475': ('Acta2', 1, 10090.0), '22352': ('Vim', 1, 10090.0), '9332': ('CD163', 17, 9606.0), '6606': ('SMN1', 3, 9606.0), '728378': ('POTEF', 3, 9606.0), '58': ('ACTA1', 8, 9606.0), '7431': ('VIM', 1, 9606.0), '207': ('AKT1', 3, 9606.0), '10971': ('YWHAQ', 1, 9606.0), '7040': ('TGFB1', 2, 9606.0)}	161
25398053	PMC4430428	102	6	{'2697': ('GJA1', 81, 9606.0), '2707': ('GJB3', 5, 9606.0), '127534': ('GJB4', 3, 9606.0), '57589': ('RIC1', 1, 9606.0), '2706': ('GJB2', 6, 9606.0), '2801': ('GOLGA2', 6, 9606.0)}	128
26743931	PMC4705587	7	3	{'2697': ('GJA1', 2, 9606.0), '100128922': ('LOC100128922', 3, 0.0), '9365': ('KL', 2, 9606.0)}	17
