PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
36586106	PMC10034954	137	40	{'3110': ('MNX1', 49, 9606.0), '2627': ('GATA6', 7, 9606.0), '2626': ('GATA4', 5, 9606.0), '4760': ('NEUROD1', 3, 9606.0), '3172': ('HNF4A', 2, 9606.0), '3630': ('INS', 24, 9606.0), '1401': ('CRP', 1, 9606.0), '6833': ('ABCC8', 3, 9606.0), '3767': ('KCNJ11', 3, 9606.0), '10555': ('AGPAT2', 1, 9606.0), '26580': ('BSCL2', 1, 9606.0), '493856': ('CISD2', 1, 9606.0), '27235': ('COQ2', 1, 9606.0), '57017': ('COQ9', 1, 9606.0), '1968': ('EIF2S3', 1, 9606.0), '1967': ('EIF2B1', 1, 9606.0), '9451': ('EIF2AK3', 1, 9606.0), '50943': ('FOXP3', 1, 9606.0), '2645': ('GCK', 1, 9606.0), '169792': ('GLIS3', 1, 9606.0), '6928': ('HNF1B', 1, 9606.0), '51124': ('IER3IP1', 1, 9606.0), '3559': ('IL2RA', 1, 9606.0), '3643': ('INSR', 1, 9606.0), '4023': ('LPL', 1, 9606.0), '987': ('LRBA', 1, 9606.0), '50674': ('NEUROG3', 1, 9606.0), '4821': ('NKX2-2', 2, 9606.0), '3651': ('PDX1', 7, 9606.0), '256297': ('PTF1A', 1, 9606.0), '222546': ('RFX6', 1, 9606.0), '6514': ('SLC2A2', 1, 9606.0), '10560': ('SLC19A2', 1, 9606.0), '6774': ('STAT3', 1, 9606.0), '7466': ('WFS1', 1, 9606.0), '81555': ('YIPF5', 1, 9606.0), '346171': ('ZFP57', 1, 9606.0), '6927': ('HNF1A', 1, 9606.0), '378435': ('Mafa', 1, 10090.0), '389692': ('MAFA', 3, 9606.0)}	106
37251668	PMC10211331	111	16	{'3767': ('KCNJ11', 28, 9606.0), '3630': ('INS', 57, 9606.0), '6833': ('ABCC8', 13, 9606.0), '26060': ('APPL1', 1, 9606.0), '640': ('BLK', 1, 9606.0), '1056': ('CEL', 1, 9606.0), '2645': ('GCK', 1, 9606.0), '6927': ('HNF1A', 1, 9606.0), '6928': ('HNF1B', 1, 9606.0), '3172': ('HNF4A', 1, 9606.0), '8462': ('KLF11', 1, 9606.0), '3949': ('LDLR', 1, 9606.0), '4760': ('NEUROD1', 1, 9606.0), '5078': ('PAX4', 1, 9606.0), '3651': ('PDX1', 1, 9606.0), '7466': ('WFS1', 1, 9606.0)}	183
36106422	PMC10214929	28	4	{'9451': ('EIF2AK3', 20, 9606.0), '3630': ('INS', 6, 9606.0), '653590': ('GGTLC5P', 1, 9606.0), '1401': ('CRP', 1, 9606.0)}	88
37873802	PMC10594453	68	9	{'9451': ('EIF2AK3', 13, 9606.0), '3630': ('INS', 36, 9606.0), '346171': ('ZFP57', 2, 9606.0), '3767': ('KCNJ11', 6, 9606.0), '6833': ('ABCC8', 3, 9606.0), '1401': ('CRP', 2, 9606.0), '5798': ('PTPRN', 1, 9606.0), '26503': ('SLC17A5', 4, 9606.0), '2875': ('GPT', 1, 9606.0)}	26
18335204	PMC2292422	87	4	{'3767': ('KCNJ11', 50, 9606.0), '3630': ('INS', 17, 9606.0), '6833': ('ABCC8', 17, 9606.0), '108714951': ('LOC108714951', 3, 0.0)}	195
19646249	PMC2724437	3	2	{'3630': ('INS', 2, 9606.0), '2641': ('GCG', 1, 9606.0)}	29
20220270	PMC2855071	64	2	{'3630': ('INS', 27, 9606.0), '3767': ('KCNJ11', 37, 9606.0)}	174
21589822	PMC3096026	15	4	{'3630': ('INS', 8, 9606.0), '16336': ('Insl3', 3, 10090.0), '3651': ('PDX1', 3, 9606.0), '3640': ('INSL3', 1, 9606.0)}	107
21544516	PMC3110270	221	20	{'3767': ('KCNJ11', 55, 9606.0), '3630': ('INS', 43, 9606.0), '6833': ('ABCC8', 49, 9606.0), '2081': ('ERN1', 8, 9606.0), '1113': ('CHGA', 5, 9606.0), '1114': ('CHGB', 5, 9606.0), '4825': ('NKX6-1', 5, 9606.0), '775': ('CACNA1C', 7, 9606.0), '2645': ('GCK', 9, 9606.0), '50943': ('FOXP3', 6, 9606.0), '50674': ('NEUROG3', 5, 9606.0), '1019': ('CDK4', 5, 9606.0), '3651': ('PDX1', 5, 9606.0), '9451': ('EIF2AK3', 4, 9606.0), '256297': ('PTF1A', 2, 9606.0), '169792': ('GLIS3', 2, 9606.0), '222546': ('RFX6', 2, 9606.0), '169026': ('SLC30A8', 2, 9606.0), '3126': ('HLA-DRB4', 1, 9606.0), '3105': ('HLA-A', 1, 9606.0)}	103
22672870	PMC3386770	69	4	{'3630': ('INS', 28, 9606.0), '6833': ('ABCC8', 26, 9606.0), '3767': ('KCNJ11', 14, 9606.0), '2641': ('GCG', 1, 9606.0)}	73
23569512	PMC3616180	31	2	{'3630': ('INS', 23, 9606.0), '3767': ('KCNJ11', 8, 9606.0)}	9
23626843	PMC3633835	11	3	{'3767': ('KCNJ11', 8, 9606.0), '6833': ('ABCC8', 2, 9606.0), '3630': ('INS', 1, 9606.0)}	118
23274907	PMC3636654	66	8	{'3630': ('INS', 43, 9606.0), '16334': ('Ins2', 8, 10090.0), '397415': ('INS', 4, 9823.0), '14526': ('Gcg', 2, 10090.0), '20604': ('Sst', 2, 10090.0), '19064': ('Ppy', 2, 10090.0), '21405': ('Hnf1a', 3, 10090.0), '11677': ('Akr1b3', 2, 10090.0)}	33
23462667	PMC3714477	66	5	{'3767': ('KCNJ11', 37, 9606.0), '3630': ('INS', 13, 9606.0), '6833': ('ABCC8', 8, 9606.0), '25559': ('Abcc8', 1, 10116.0), '16514': ('Kcnj11', 7, 10090.0)}	122
24130952	PMC3793492	65	3	{'3767': ('KCNJ11', 33, 9606.0), '3630': ('INS', 27, 9606.0), '6833': ('ABCC8', 5, 9606.0)}	70
24281154	PMC3914625	207	28	{'3630': ('INS', 40, 9606.0), '2081': ('ERN1', 5, 9606.0), '44226': ('Xbp1', 5, 7227.0), '45285': ('Dr', 12, 7227.0), '212541': ('Rho', 1, 10090.0), '42367': ('ninaE', 2, 7227.0), '1438': ('CSF2RA', 73, 9606.0), '34908': ('sna', 5, 7227.0), '34350': ('Sur', 6, 7227.0), '31000': ('elav', 4, 7227.0), '1259': ('CNGA1', 2, 9606.0), '7494': ('XBP1', 6, 9606.0), '43034': ('Sil1', 3, 0.0), '40450': ('CG7130', 3, 0.0), '33271': ('ninaA', 2, 0.0), '40653': ('PEK', 3, 7227.0), '32133': ('Hsc70-3', 2, 7227.0), '249912': ('bip', 2, 7227.0), '45880': ('Ldh', 1, 7227.0), '33856': ('CG9150', 1, 0.0), '44510': ('cv', 8, 7227.0), '84335': ('AKT1S1', 1, 9606.0), '23373': ('CRTC1', 2, 9606.0), '51593': ('SRRT', 1, 9606.0), '4488': ('MSX2', 3, 9606.0), '42549': ('InR', 10, 7227.0), '16334': ('Ins2', 1, 10090.0), '39251': ('Sod1', 3, 7227.0)}	135
24843665	PMC4015663	85	14	{'6833': ('ABCC8', 30, 9606.0), '3630': ('INS', 27, 9606.0), '3767': ('KCNJ11', 17, 9606.0), '2645': ('GCK', 1, 9606.0), '50943': ('FOXP3', 1, 9606.0), '9451': ('EIF2AK3', 1, 9606.0), '3651': ('PDX1', 1, 9606.0), '256297': ('PTF1A', 1, 9606.0), '169792': ('GLIS3', 1, 9606.0), '4760': ('NEUROD1', 1, 9606.0), '6928': ('HNF1B', 1, 9606.0), '2571': ('GAD1', 1, 9606.0), '10060': ('ABCC9', 1, 9606.0), '2305': ('FOXM1', 1, 9606.0)}	71
25052923	PMC4118223	80	17	{'3767': ('KCNJ11', 16, 9606.0), '6833': ('ABCC8', 15, 9606.0), '3630': ('INS', 32, 9606.0), '2645': ('GCK', 1, 9606.0), '3651': ('PDX1', 1, 9606.0), '50943': ('FOXP3', 2, 9606.0), '256297': ('PTF1A', 2, 9606.0), '9451': ('EIF2AK3', 2, 9606.0), '169792': ('GLIS3', 1, 9606.0), '4760': ('NEUROD1', 1, 9606.0), '222546': ('RFX6', 1, 9606.0), '50674': ('NEUROG3', 1, 9606.0), '2627': ('GATA6', 1, 9606.0), '10560': ('SLC19A2', 1, 9606.0), '6928': ('HNF1B', 1, 9606.0), '5080': ('PAX6', 1, 9606.0), '7466': ('WFS1', 1, 9606.0)}	7
26388896	PMC4573445	116	19	{'3767': ('KCNJ11', 33, 9606.0), '6833': ('ABCC8', 11, 9606.0), '3630': ('INS', 49, 9606.0), '2645': ('GCK', 6, 9606.0), '2571': ('GAD1', 1, 9606.0), '3651': ('PDX1', 2, 9606.0), '9451': ('EIF2AK3', 1, 9606.0), '256297': ('PTF1A', 1, 9606.0), '50943': ('FOXP3', 2, 9606.0), '50674': ('NEUROG3', 1, 9606.0), '4760': ('NEUROD1', 1, 9606.0), '222546': ('RFX6', 1, 9606.0), '51124': ('IER3IP1', 1, 9606.0), '6928': ('HNF1B', 1, 9606.0), '169792': ('GLIS3', 1, 9606.0), '5080': ('PAX6', 1, 9606.0), '10560': ('SLC19A2', 1, 9606.0), '6514': ('SLC2A2', 1, 9606.0), '7466': ('WFS1', 1, 9606.0)}	19
26576310	PMC4630382	14	3	{'3630': ('INS', 11, 9606.0), '1401': ('CRP', 1, 9606.0), '3767': ('KCNJ11', 2, 9606.0)}	14
26587058	PMC4652399	131	6	{'103988': ('Gck', 37, 10090.0), '3767': ('KCNJ11', 9, 9606.0), '6833': ('ABCC8', 10, 9606.0), '2645': ('GCK', 48, 9606.0), '3630': ('INS', 22, 9606.0), '340061': ('STING1', 5, 9606.0)}	86
28480665	PMC5426229	56	6	{'3767': ('KCNJ11', 25, 9606.0), '3630': ('INS', 19, 9606.0), '6833': ('ABCC8', 7, 9606.0), '2641': ('GCG', 3, 9606.0), '642': ('BLMH', 1, 9606.0), '8836': ('GGH', 1, 9606.0)}	104
28652565	PMC5499629	25	6	{'3630': ('INS', 12, 9606.0), '3479': ('IGF1', 1, 9606.0), '3767': ('KCNJ11', 2, 9606.0), '6833': ('ABCC8', 1, 9606.0), '9451': ('EIF2AK3', 8, 9606.0), '5798': ('PTPRN', 1, 9606.0)}	61
28915629	PMC5593600	539	44	{'51124': ('IER3IP1', 49, 9606.0), '66191': ('Ier3ip1', 160, 10090.0), '12125': ('Bcl2l11', 61, 10090.0), '12048': ('Bcl2l1', 25, 10090.0), '2081': ('ERN1', 3, 9606.0), '9451': ('EIF2AK3', 5, 9606.0), '13666': ('Eif2ak3', 17, 10090.0), '16334': ('Ins2', 1, 10090.0), '226641': ('Atf6', 7, 10090.0), '229317': ('Eif2a', 3, 10090.0), '11911': ('Atf4', 9, 10090.0), '12367': ('Casp3', 15, 10090.0), '11545': ('Parp1', 4, 10090.0), '15510': ('Hspd1', 1, 10090.0), '581': ('BAX', 4, 9606.0), '12028': ('Bax', 29, 10090.0), '12018': ('Bak1', 7, 10090.0), '10018': ('BCL2L11', 7, 9606.0), '596': ('BCL2', 8, 9606.0), '170770': ('Bbc3', 10, 10090.0), '56458': ('Foxo1', 11, 10090.0), '56484': ('Foxo3', 12, 10090.0), '26413': ('Mapk1', 12, 10090.0), '598': ('BCL2L1', 4, 9606.0), '12043': ('Bcl2', 4, 10090.0), '78943': ('Ern1', 12, 10090.0), '22433': ('Xbp1', 3, 10090.0), '27362': ('Dnajb9', 2, 10090.0), '100037258': ('Dnajc3', 2, 10090.0), '192193': ('Edem1', 2, 10090.0), '57743': ('Sec61a2', 2, 10090.0), '13665': ('Eif2s1', 3, 10090.0), '13198': ('Ddit3', 8, 10090.0), '14828': ('Hspa5', 1, 10090.0), '17345': ('Mki67', 9, 10090.0), '11651': ('Akt1', 12, 10090.0), '20104': ('Rps6', 1, 10090.0), '56717': ('Mtor', 5, 10090.0), '207': ('AKT1', 1, 9606.0), '18609': ('Pdx1', 3, 10090.0), '2308': ('FOXO1', 1, 9606.0), '2069': ('EREG', 2, 9606.0), '18708': ('Pik3r1', 1, 10090.0), '21673': ('Dntt', 1, 10090.0)}	129
28955442	PMC5610347	41	6	{'9451': ('EIF2AK3', 22, 9606.0), '3630': ('INS', 14, 9606.0), '2571': ('GAD1', 1, 9606.0), '26503': ('SLC17A5', 1, 9606.0), '6928': ('HNF1B', 1, 9606.0), '13666': ('Eif2ak3', 2, 10090.0)}	76
29308449	PMC5738118	84	3	{'3630': ('INS', 80, 9606.0), '3767': ('KCNJ11', 2, 9606.0), '6833': ('ABCC8', 2, 9606.0)}	189
30286572	PMC6177662	79	3	{'3630': ('INS', 38, 9606.0), '3767': ('KCNJ11', 37, 9606.0), '6833': ('ABCC8', 4, 9606.0)}	151
