PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
36727580	PMC10094083	115	16	{'79798': ('ARMC5', 66, 9606.0), '5443': ('POMC', 11, 9606.0), '1499': ('CTNNB1', 5, 9606.0), '4221': ('MEN1', 3, 9606.0), '324': ('APC', 2, 9606.0), '2778': ('GNAS', 2, 9606.0), '50940': ('PDE11A', 4, 9606.0), '4158': ('MC2R', 6, 9606.0), '10020': ('GNE', 1, 9606.0), '5573': ('PRKAR1A', 3, 9606.0), '3630': ('INS', 1, 9606.0), '1113': ('CHGA', 1, 9606.0), '5972': ('REN', 1, 9606.0), '4771': ('NF2', 3, 9606.0), '23028': ('KDM1A', 5, 9606.0), '5566': ('PRKACA', 1, 9606.0)}	275
37328870	PMC10276383	41	13	{'5443': ('POMC', 13, 9606.0), '5741': ('PTH', 2, 9606.0), '2688': ('GH1', 1, 9606.0), '5573': ('PRKAR1A', 4, 9606.0), '50940': ('PDE11A', 1, 9606.0), '8622': ('PDE8B', 1, 9606.0), '5566': ('PRKACA', 1, 9606.0), '2695': ('GIP', 4, 9606.0), '551': ('AVP', 4, 9606.0), '3552': ('IL1A', 4, 9606.0), '3952': ('LEP', 1, 9606.0), '2796': ('GNRH1', 4, 9606.0), '2778': ('GNAS', 1, 9606.0)}	205
37448248	PMC10350612	14	5	{'1025': ('CDK9', 4, 9606.0), '2778': ('GNAS', 2, 9606.0), '28882': ('IGKV2D-29', 1, 9606.0), '79798': ('ARMC5', 2, 9606.0), '5443': ('POMC', 5, 9606.0)}	78
37723545	PMC10506208	18	10	{'5443': ('POMC', 6, 9606.0), '1584': ('CYP11B1', 2, 9606.0), '1585': ('CYP11B2', 1, 9606.0), '79798': ('ARMC5', 2, 9606.0), '1401': ('CRP', 2, 9606.0), '3569': ('IL6', 1, 9606.0), '493687': ('IL6', 1, 9685.0), '493755': ('TNF', 1, 9685.0), '3458': ('IFNG', 1, 9606.0), '920': ('CD4', 1, 9606.0)}	308
38188890	PMC10768544	0	0	{}	31
38192416	PMC10773667	41	12	{'5443': ('POMC', 18, 9606.0), '7157': ('TP53', 3, 9606.0), '4626': ('MYH8', 2, 9606.0), '5573': ('PRKAR1A', 4, 9606.0), '79798': ('ARMC5', 4, 9606.0), '4158': ('MC2R', 1, 9606.0), '2778': ('GNAS', 2, 9606.0), '50940': ('PDE11A', 1, 9606.0), '2696': ('GIPR', 2, 9606.0), '8836': ('GGH', 1, 9606.0), '3479': ('IGF1', 1, 9606.0), '3762': ('KCNJ5', 2, 9606.0)}	11
38128413	PMC10776922	41	6	{'5443': ('POMC', 28, 9606.0), '1431': ('CS', 4, 9606.0), '1439': ('CSF2RB', 3, 9606.0), '3291': ('HSD11B2', 4, 9606.0), '26871': ('RNU1-1', 1, 9606.0), '374875': ('HSD11B1L', 1, 9606.0)}	102
19706204	PMC2735164	233	74	{'5443': ('POMC', 3, 9606.0), '2778': ('GNAS', 2, 9606.0), '1543': ('CYP1A1', 5, 9606.0), '2944': ('GSTM1', 10, 9606.0), '3119': ('HLA-DQB1', 5, 9606.0), '3105': ('HLA-A', 6, 9606.0), '1565': ('CYP2D6', 5, 9606.0), '2952': ('GSTT1', 7, 9606.0), '100': ('ADA', 4, 9606.0), '695': ('BTK', 1, 9606.0), '182': ('JAG1', 1, 9606.0), '4853': ('NOTCH2', 1, 9606.0), '5265': ('SERPINA1', 1, 9606.0), '174': ('AFP', 16, 9606.0), '1287': ('COL4A5', 2, 9606.0), '1288': ('COL4A6', 2, 9606.0), '367': ('AR', 4, 9606.0), '268': ('AMH', 1, 9606.0), '4763': ('NF1', 4, 9606.0), '472': ('ATM', 20, 9606.0), '672': ('BRCA1', 3, 9606.0), '675': ('BRCA2', 3, 9606.0), '5295': ('PIK3R1', 1, 9606.0), '11200': ('CHEK2', 1, 9606.0), '7157': ('TP53', 11, 9606.0), '355': ('FAS', 9, 9606.0), '356': ('FASLG', 1, 9606.0), '326': ('AIRE', 1, 9606.0), '5728': ('PTEN', 9, 9606.0), '583': ('BBS2', 7, 9606.0), '582': ('BBS1', 2, 9606.0), '79738': ('BBS10', 1, 9606.0), '22954': ('TRIM32', 1, 9606.0), '166379': ('BBS12', 1, 9606.0), '84100': ('ARL6', 1, 9606.0), '585': ('BBS4', 1, 9606.0), '129880': ('BBS5', 1, 9606.0), '8195': ('MKKS', 2, 9606.0), '55212': ('BBS7', 1, 9606.0), '123016': ('TTC8', 1, 9606.0), '27241': ('BBS9', 1, 9606.0), '5727': ('PTCH1', 2, 9606.0), '373156': ('GSTK1', 5, 9606.0), '4051': ('CYP4F3', 3, 9606.0), '8255': ('BZX', 1, 0.0), '283120': ('H19', 2, 9606.0), '10984': ('KCNQ1OT1', 2, 9606.0), '64324': ('NSD1', 1, 9606.0), '1028': ('CDKN1C', 4, 9606.0), '7490': ('WT1', 1, 9606.0), '1781': ('DYNC1I2', 2, 9606.0), '999': ('CDH1', 2, 9606.0), '4292': ('MLH1', 4, 9606.0), '4436': ('MSH2', 4, 9606.0), '2956': ('MSH6', 6, 9606.0), '5395': ('PMS2', 3, 9606.0), '201163': ('FLCN', 1, 9606.0), '3265': ('HRAS', 2, 9606.0), '641': ('BLM', 1, 9606.0), '5205': ('ATP8B1', 4, 9606.0), '4221': ('MEN1', 2, 9606.0), '5573': ('PRKAR1A', 5, 9606.0), '673': ('BRAF', 2, 9606.0), '3845': ('KRAS', 1, 9606.0), '5604': ('MAP2K1', 1, 9606.0), '5605': ('MAP2K2', 1, 9606.0), '1257': ('CNC2', 1, 9606.0), '1029': ('CDKN2A', 1, 9606.0), '2688': ('GH1', 1, 9606.0), '3117': ('HLA-DQA1', 1, 9606.0), '1571': ('CYP2E1', 1, 9606.0), '1130': ('LYST', 5, 9606.0), '6452': ('SH3BP2', 1, 9606.0), '3990': ('LIPC', 1, 9606.0)}	371
23097726	PMC3477530	29	7	{'5443': ('POMC', 19, 9606.0), '5972': ('REN', 1, 9606.0), '2695': ('GIP', 2, 9606.0), '7200': ('TRH', 2, 9606.0), '2796': ('GNRH1', 2, 9606.0), '551': ('AVP', 1, 9606.0), '4158': ('MC2R', 2, 9606.0)}	312
25228844	PMC4164732	52	5	{'5443': ('POMC', 22, 9606.0), '2695': ('GIP', 3, 9606.0), '551': ('AVP', 24, 9606.0), '2778': ('GNAS', 1, 9606.0), '4158': ('MC2R', 2, 9606.0)}	252
