PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
37269011	PMC10236743	134	10	{'5080': ('PAX6', 107, 9606.0), '7490': ('WT1', 3, 9606.0), '3708': ('ITPR1', 2, 9606.0), '2296': ('FOXC1', 1, 9606.0), '5308': ('PITX2', 1, 9606.0), '27151': ('CPAMD8', 2, 9606.0), '26610': ('ELP4', 4, 9606.0), '8549': ('LGR5', 6, 9606.0), '6175': ('RPLP0', 6, 9606.0), '105941491': ('PAX6DRR', 2, 0.0)}	94
35379600	PMC10359511	21	8	{'51151': ('SLC45A2', 4, 9606.0), '7299': ('TYR', 6, 9606.0), '4935': ('GPR143', 2, 9606.0), '146167': ('SLC38A8', 4, 9606.0), '5080': ('PAX6', 1, 9606.0), '196': ('AHR', 2, 9606.0), '7054': ('TH', 1, 9606.0), '2191': ('FAP', 1, 9606.0)}	81
37510387	PMC10379490	180	9	{'5080': ('PAX6', 135, 9606.0), '18508': ('Pax6', 9, 10090.0), '728378': ('POTEF', 5, 9606.0), '14433': ('Gapdh', 6, 10090.0), '16905': ('Lmna', 4, 10090.0), '3960': ('LGALS4', 12, 9606.0), '11461': ('Actb', 4, 10090.0), '4000': ('LMNA', 3, 9606.0), '6908': ('TBP', 2, 9606.0)}	134
37542296	PMC10401864	73	4	{'5080': ('PAX6', 67, 9606.0), '54765': ('TRIM44', 1, 9606.0), '26610': ('ELP4', 1, 9606.0), '7490': ('WT1', 4, 9606.0)}	308
37568394	PMC10419931	0	0	{}	51
37680693	PMC10481774	6	6	{'7546': ('ZIC2', 1, 9606.0), '5076': ('PAX2', 1, 9606.0), '2041': ('EPHA1', 1, 9606.0), '5080': ('PAX6', 1, 9606.0), '8820': ('HESX1', 1, 9606.0), '6657': ('SOX2', 1, 9606.0)}	107
37862028	PMC10599165	132	5	{'234788': ('Slc38a8', 124, 0.0), '146167': ('SLC38A8', 3, 9606.0), '13190': ('Dct', 2, 10090.0), '67946': ('Spata6', 1, 10090.0), '18241': ('Gpr143', 2, 10090.0)}	125
38136112	PMC10741917	1	1	{'4935': ('GPR143', 1, 9606.0)}	106
38248310	PMC10814852	94	2	{'5080': ('PAX6', 90, 9606.0), '5076': ('PAX2', 4, 9606.0)}	339
12515581	PMC140306	78	2	{'474285': ('OA1', 76, 0.0), '441931': ('VN1R17P', 2, 9606.0)}	368
16646960	PMC1468396	58	4	{'474285': ('OA1', 52, 0.0), '4935': ('GPR143', 2, 9606.0), '10663': ('CXCR6', 3, 9606.0), '18241': ('Gpr143', 1, 10090.0)}	348
18978956	PMC2576482	93	2	{'4935': ('GPR143', 36, 9606.0), '474285': ('OA1', 57, 0.0)}	361
19862335	PMC2765237	70	6	{'5080': ('PAX6', 52, 9606.0), '18508': ('Pax6', 8, 10090.0), '15209': ('Hesx1', 1, 10090.0), '13797': ('Emx2', 5, 10090.0), '7490': ('WT1', 2, 9606.0), '627': ('BDNF', 2, 9606.0)}	344
21423867	PMC3060156	78	4	{'4935': ('GPR143', 48, 9606.0), '7430': ('EZR', 2, 9606.0), '90167': ('FRMD7', 26, 9606.0), '10663': ('CXCR6', 2, 9606.0)}	292
