gene_id	gene_symbol	count	tfidf	rank_tfidf
8074	FGF23	366	3.5261475790050243	1
2591	GALNT3	156	2.0711791886073883	2
9365	KL	52	0.5239386581724408	3
27445	PCLO	13	0.17264789723161916	4
3552	IL1A	16	0.10357318804431472	5
1401	CRP	21	0.0963592492473844	6
5741	PTH	12	0.08470056211430987	7
54809	SAMD9	6	0.08141469242846121	8
2260	FGFR1	7	0.06232638433318763	9
142680	SLC34A3	4	0.055346093082396686	10
